seq_name	length	cov.	circ.	repeat	mult.	graph_path
contig_501	25976	20	-	-	1	258,501,-774
contig_502	894	4	-	+	1	502
contig_503	11754	25	-	-	1	-413,697,503,692,-824
contig_506	1547	4	-	+	1	506
contig_507	15765	18	-	-	1	507,-570
contig_508	3668	27	-	+	3	508
contig_514	3088	10	-	-	1	-800,-467,514
contig_522	4356	13	-	-	1	522
contig_523	17617	26	-	-	1	524,523
contig_525	6770	20	-	-	1	525
contig_527	3193	97	-	+	4	527
contig_530	4177	0	-	-	1	820,257,530,-696
contig_531	4675	21	-	+	5	531
contig_533	833	138	-	+	1	533
contig_536	3885	0	-	-	1	536,519,519
contig_537	1198	12	-	+	1	537
contig_538	2117	10	-	-	1	*,538,*
contig_539	3995	7	-	-	1	573,560,539
contig_541	1034	63	-	+	1	541
contig_542	11793	14	-	+	1	542
contig_545	3452	122	-	+	4	545
contig_548	28230	16	-	-	1	548,225,-556,324
contig_550	10146	15	-	-	1	-844,544,-844,550,-635,-635,-682,-682
contig_551	1885	3	-	-	1	551,-736
contig_553	6938	24	-	-	1	660,553
contig_554	706	7	-	+	1	554
contig_559	1102	10	-	+	1	559
contig_562	9948	7	-	-	1	562,246,-492
contig_563	7169	21	-	+	1	563
contig_567	6046	1	-	-	1	682,682,635,635,567
contig_568	1156	69	-	-	1	798,568
contig_571	9458	62	-	+	1	571
contig_577	2029	12	-	-	1	*,577,*
contig_579	663	24	-	+	4	579
contig_582	8307	17	-	-	1	582
contig_593	2804	11	-	-	1	593,-227
contig_594	38266	2	-	-	1	-271,689,594,271
contig_597	87892	35	-	-	1	-408,-408,-408,-408,597,-867,369,661,732,732
contig_598	2177	10	-	+	1	598,*
contig_599	21626	14	-	-	1	599,-179
contig_601	804	101	-	+	2	601
contig_603	16043	19	-	-	1	637,603,447
contig_604	16360	39	-	-	1	513,604,229,-373,868,-618,-618,336,751,751,740,799,-367,-382
contig_605	717	0	-	-	1	605,668,-862
contig_607	13576	25	-	-	1	607
contig_612	6162	10	-	-	1	612,-227
contig_614	27105	41	-	-	1	-505,614,-416,794,-410,-233,-870,-552
contig_615	2584	88	-	+	4	615
contig_616	19189	4	-	-	1	174,616,-689,271
contig_617	876	18	-	+	3	617
contig_620	1501	55	-	+	2	620
contig_622	1170	1	-	+	1	622
contig_624	1493	68	-	+	2	624
contig_625	22413	15	-	-	1	625,558,-575,833,-477
contig_626	522	13	-	+	3	626
contig_630	553	1	-	+	1	630
contig_631	3649	12	-	-	1	*,631
contig_632	9450	7	-	-	1	394,394,632,-746
contig_633	4855	5	-	-	1	496,435,491,633
contig_634	863	7	-	-	1	634
contig_636	6104	22	-	-	1	636,-511
contig_640	5602	25	-	-	1	-783,-783,-783,640,470
contig_641	6951	4	-	-	1	*,641,-292
contig_643	2075	22	-	-	1	643
contig_644	5830	26	-	-	1	644
contig_645	1763	229	-	+	1	645
contig_647	3308	30	-	+	1	647
contig_654	2041	55	-	-	1	*,654,*
contig_656	2201	11	-	-	1	*,656,*
contig_657	668	4	-	-	1	657
contig_665	2579	10	-	-	1	*,665,*
contig_670	2863	6	-	-	1	*,670,*
contig_671	682	1	-	-	1	-383,671,-560
contig_673	4444	16	-	-	1	673
contig_674	938	123	-	+	5	674
contig_675	2072	56	-	-	1	*,675,*
contig_676	10943	13	-	-	1	676,-375,-404
contig_683	784	5	-	+	3	683
contig_684	1263	10	-	-	1	684
contig_687	5688	25	-	+	1	687
contig_690	10794	14	-	-	1	690,-580,-655,239,-490,-490
contig_699	530	42	-	+	4	699
contig_701	3394	43	-	-	1	701,700,157
contig_706	1035	51	-	+	3	706
contig_709	522	71	-	+	2	709
contig_714	2275	4	-	-	1	714,-564
contig_716	1262	523	-	+	1	716
contig_720	2184	21	-	+	3	720
contig_722	4243	8	-	-	1	-450,-464,722
contig_723	1052	1	-	+	1	723
contig_724	2245	4	-	-	1	724
contig_726	2583	5	-	+	2	726
contig_728	4821	1	-	-	1	-679,-698,728
contig_737	3979	17	-	-	1	*,737,*
contig_738	685	1	-	-	1	738
contig_739	810	1	-	+	1	739
contig_742	6258	6	-	-	1	362,742,-294,-713,71
contig_743	1233	13	-	-	1	743
contig_744	1540	11	-	+	6	744
contig_747	951	0	-	+	1	747
contig_748	2677	27	-	-	1	748,-430,681
contig_752	621	2	-	+	4	752
contig_756	549	41	-	+	1	756
contig_759	7293	22	-	-	1	-735,759
contig_762	3011	61	-	+	1	762
contig_765	2253	18	-	+	6	765
contig_766	2904	11	-	-	1	766,772,772,512
contig_767	1270	0	-	+	1	767
contig_768	5618	43	-	+	2	768
contig_769	804	89	-	+	2	769
contig_770	2127	5	-	-	1	*,770,*
contig_771	23548	24	-	-	1	771,263
contig_773	600	13	-	-	1	773
contig_775	637	0	-	+	4	775
contig_780	12014	33	-	-	1	-350,717,717,851,825,780,354,668,-862
contig_782	1325	5	-	+	12	782
contig_785	1019	73	-	-	1	785
contig_789	655	0	-	+	2	789
contig_791	2980	5	-	-	1	791
contig_795	2220	25	-	-	1	-344,795,815
contig_797	3955	20	-	-	1	-402,561,797
contig_803	812	4	-	+	1	803
contig_804	547	2	-	-	1	804
contig_806	899	0	-	+	1	806
contig_808	5850	24	-	+	1	808
contig_812	1429	53	-	+	3	812
contig_814	592	34	-	+	3	814
contig_816	13172	29	-	-	1	816,-242,303
contig_817	8585	30	-	-	1	-540,-856,817,-466
contig_819	641	15	-	+	1	819
contig_821	1474	2	-	-	1	821
contig_823	1337	16	-	+	3	823
contig_826	5666	11	-	-	1	826,-596,663,-608
contig_828	5830	9	-	-	1	672,306,828
contig_831	1447	1	-	+	3	831
contig_835	582	10	-	+	1	835
contig_836	13250	29	-	-	1	-718,707,836
contig_838	137	1	-	-	1	838
contig_839	59	0	-	+	1	839
contig_842	901	11	-	+	1	842
contig_843	2413	13	-	+	1	843
contig_845	1797	14	-	+	1	845
contig_846	8775	40	-	+	1	846
contig_848	9671	16	-	-	1	660,848,602,383,648
contig_849	2279	35	-	+	2	849
contig_850	733	52	-	+	3	850
contig_853	2192	145	-	+	5	853
contig_857	799	1	-	-	1	857
contig_861	505	22	-	-	1	861
contig_863	1552	50	-	-	1	863
contig_864	6116	34	-	-	1	-621,257,864
contig_869	1812	4	-	-	1	869,331
